From,To,organ,timepoint
C4b,12268,BM,h6
Olfml3,99543,BM,h6
A1bg,117586,BM,h6
Iglc1,110785,BM,h6
Iglc2,110786,BM,h6
Iglc3,110787,BM,h6
Psapl1,76943,BM,h6
Cp,12870,BM,h6
Cgref1,68567,BM,h6
Il12a,16159,BM,h6
Il12b,16160,BM,h6
Tac1,21333,BM,h6
Fbln2,14115,BM,h6
Col18a1,12822,BM,h6
Smpd1,20597,BM,h6
Fbln5,23876,BM,h6
Fbln1,14114,BM,h6
F8,14069,BM,h6
Cmtm7,102545,BM,h6
Izumo4,71564,BM,h6
Loxl2,94352,BM,h6
Loxl1,16949,BM,h6
F9,14071,BM,h6
Cmtm8,70031,BM,h6
F7,14068,BM,h6
Pdcd6ip,18571,BM,h6
Egfr,13649,BM,h6
Lgi2,246316,BM,h6
Cmtm3,68119,BM,h6
Srgn,19073,BM,h6
Lgi3,213469,BM,h6
B2m,12010,BM,h6
Cmtm5,67272,BM,h6
F5,14067,BM,h6
App,11820,BM,h6
Prlr,19116,BM,h6
F3,14066,BM,h6
Plg,18815,BM,h6
F2,14061,BM,h6
Mzb1,69816,BM,h6
Xcl1,16963,BM,h6
Gpc4,14735,BM,h6
Olfm4,380924,BM,h6
Csf2,12981,BM,h6
Csf3,12985,BM,h6
Tuft1,22156,BM,h6
Gpc1,14733,BM,h6
Csf1,12977,BM,h6
Asah2,54447,BM,h6
Elane,50701,BM,h6
Asah1,11886,BM,h6
Ptx3,19288,BM,h6
Pxdn,69675,BM,h6
Gc,14473,BM,h6
Mettl9,59052,BM,h6
Il1rap,16180,BM,h6
Gnas,14683,BM,h6
Proc,19123,BM,h6
Pcolce2,76477,BM,h6
AY761184,382000,BM,h6
Efemp1,216616,BM,h6
Fam213a,70564,BM,h6
Pdgfc,54635,BM,h6
Spint1,20732,BM,h6
C8g,69379,BM,h6
Hamp2,66438,BM,h6
C8a,230558,BM,h6
C8b,110382,BM,h6
Pdgfb,18591,BM,h6
Pdgfa,18590,BM,h6
Proz,66901,BM,h6
Samd1,666704,BM,h6
Tnfrsf18,21936,BM,h6
Tnfrsf19,29820,BM,h6
Apcs,20219,BM,h6
Fgg,99571,BM,h6
